Name,"Full name","Description","Location","Coordinates",URL,Version,DNSSEC validation,No logs,Namecoin,Resolver address,Provider name,Provider public key,Provider public key TXT record
adguard-dns-family,adguard-dns-family,,,,,1,no,yes,no,176.103.130.132:5443,2.dnscrypt.family.ns1.adguard.com,B831:5DD7:B14B:6EE3:20A4:70DC:2ED6:B1AA:398C:C9E5:86F8:5D45:45D6:B8C9:B500:5ABA,
adguard-dns,adguard-dns,,,,,1,no,yes,no,176.103.130.130:5443,2.dnscrypt.default.ns1.adguard.com,D12B:47F2:52DC:F2C2:BBF8:9910:86EA:F79C:E449:5D8B:16C8:A0C4:322E:52CA:3F39:0873,
adguard-dns-family-ipv6,adguard-dns-family-ipv6,,,,,1,no,yes,no,[2a00:5a60::bad2:0ff]:5443,2.dnscrypt.family.ns2.adguard.com,8C21:17A9:EBC1:57D6:FB64:056F:0ADB:C11C:5D83:6734:73C4:6E25:8D9B:2F57:D4EE:351F,
adguard-dns-ipv6,adguard-dns-ipv6,,,,,1,no,yes,no,[2a00:5a60::ad2:0ff]:5443,2.dnscrypt.default.ns2.adguard.com,81D0:02D3:6A4C:A50C:473B:7479:650F:E12E:02B3:21CB:6138:562A:208E:403D:FDC5:5E94,
arvind-io,arvind-io,,,,,1,yes,yes,no,139.59.16.130:5353,2.dnscrypt-cert.arvind.io,8E46:27C7:3883:A851:0308:21BA:5AE7:E5D0:41F4:AAEF:95B7:8290:16CB:651D:87C3:28C9,
bn-fr0,bn-fr0,,,,,1,no,yes,no,5.135.66.222:5353,2.dnscrypt-cert.babylon.network,8794:070A:143D:35CA:1CA6:32E7:B189:3028:4EAE:5DAF:EBB4:01E3:DF52:E9F0:37AB:D182,
bn-fr0-ipv6,bn-fr0-ipv6,,,,,1,no,yes,no,[2001:41d0:8:4480::222]:5353,2.dnscrypt-cert.babylon.network,8794:070A:143D:35CA:1CA6:32E7:B189:3028:4EAE:5DAF:EBB4:01E3:DF52:E9F0:37AB:D182,
bn-nl0,bn-nl0,,,,,1,no,yes,no,87.253.152.190:5353,2.dnscrypt-cert.babylon.network,8794:070A:143D:35CA:1CA6:32E7:B189:3028:4EAE:5DAF:EBB4:01E3:DF52:E9F0:37AB:D182,
captnemo-in,captnemo-in,,,,,1,no,no,no,139.59.48.222:4434,2.dnscrypt-cert.captnemo.in,053A:DFF2:C5A3:2916:D81A:D88A:6779:2C30:2BAA:D5D2:8032:95E8:5A9B:D22F:8687:1E10,
cisco,cisco,,,,,1,no,no,no,208.67.220.220,2.dnscrypt-cert.opendns.com,B735:1140:206F:225D:3E2B:D822:D7FD:691E:A1C3:3CC8:D666:8D0C:BE04:BFAB:CA43:FB79,
cisco-familyshield,cisco-familyshield,,,,,1,no,no,no,208.67.220.123,2.dnscrypt-cert.opendns.com,B735:1140:206F:225D:3E2B:D822:D7FD:691E:A1C3:3CC8:D666:8D0C:BE04:BFAB:CA43:FB79,
cisco-ipv6,cisco-ipv6,,,,,1,no,no,no,[2620:0:ccc::2],2.dnscrypt-cert.opendns.com,B735:1140:206F:225D:3E2B:D822:D7FD:691E:A1C3:3CC8:D666:8D0C:BE04:BFAB:CA43:FB79,
cleanbrowsing-family,cleanbrowsing-family,,,,,1,yes,yes,no,185.228.168.168:8443,cleanbrowsing.org,BCAC:32FA:D543:6917:1F08:32D6:0750:27C3:208C:EEF0:E8E9:9F94:18DC:7760:65D4:8F29,
cleanbrowsing-adult,cleanbrowsing-adult,,,,,1,yes,yes,no,185.228.168.10:8443,cleanbrowsing.org,BCAC:32FA:D543:6917:1F08:32D6:0750:27C3:208C:EEF0:E8E9:9F94:18DC:7760:65D4:8F29,
comodo-02,comodo-02,,,,,1,no,no,no,8.20.247.2,2.dnscrypt-cert.shield-2.dnsbycomodo.com,D2C2:54AA:961C:1ECA:1799:96F5:5FBC:801F:0836:C723:79AB:527E:CDA8:861B:E0E0:B3B0,
